token,symbol,ltp,level,taps
256265,NIFTY 50,24672.8,24537.6,17
264457,NIFTY 200,13985.1,14157.05,16
260617,NIFTY 100,25629.6,25090.35,16
260617,NIFTY 100,25629.6,26002.2,16
260617,NIFTY 100,25629.6,25644.4,16
256777,NIFTY MIDCAP 100,58815.75,59290.05,16
260617,NIFTY 100,25629.6,26145.6,16
261897,NIFTY FMCG,56594.55,54757.35,16
264457,NIFTY 200,13985.1,13846.85,16
262153,NIFTY MNC,29378.3,29334.3,16
261897,NIFTY FMCG,56594.55,56872.5,16
262921,NIFTY PSU BANK,6981.1,6768.75,16
262921,NIFTY PSU BANK,6981.1,7038.8,16
261897,NIFTY FMCG,56594.55,55493.25,16
260105,NIFTY BANK,53281.45,52794.55,16
264457,NIFTY 200,13985.1,14234.65,16
261129,NIFTY REALTY,1077.5,1043.85,15
262409,NIFTY PHARMA,22114.95,22301.05,15
257289,NIFTY COMMODITIES,8703.25,8681.7,15
262409,NIFTY PHARMA,22114.95,22275.7,15
260105,NIFTY BANK,53281.45,52782.75,15
262921,NIFTY PSU BANK,6981.1,7039.2,15
261897,NIFTY FMCG,56594.55,57966.7,15
262665,NIFTY PSE,10250.75,10240.7,15
256777,NIFTY MIDCAP 100,58815.75,59529.9,15
263689,NIFTY METAL,9405.75,9377.1,15
256265,NIFTY 50,24672.8,24694.35,15
261897,NIFTY FMCG,56594.55,56008.0,15
256265,NIFTY 50,24672.8,25078.3,15
263433,NIFTY AUTO,23706.2,23713.2,15
260617,NIFTY 100,25629.6,25494.6,14
261897,NIFTY FMCG,56594.55,56222.75,14
256777,NIFTY MIDCAP 100,58815.75,56823.2,14
257545,NIFTY CONSUMPTION,11600.9,11426.45,14
257545,NIFTY CONSUMPTION,11600.9,11527.55,14
261897,NIFTY FMCG,56594.55,56062.0,14
257289,NIFTY COMMODITIES,8703.25,8694.85,14
264457,NIFTY 200,13985.1,14015.55,14
257289,NIFTY COMMODITIES,8703.25,8690.6,14
256777,NIFTY MIDCAP 100,58815.75,59539.0,14
260617,NIFTY 100,25629.6,25501.3,14
256265,NIFTY 50,24672.8,24099.7,14
260105,NIFTY BANK,53281.45,52760.2,13
256777,NIFTY MIDCAP 100,58815.75,58522.95,13
257545,NIFTY CONSUMPTION,11600.9,11621.2,13
256265,NIFTY 50,24672.8,24920.05,13
257545,NIFTY CONSUMPTION,11600.9,11533.55,13
264457,NIFTY 200,13985.1,14030.35,13
257289,NIFTY COMMODITIES,8703.25,8370.25,13
264457,NIFTY 200,13985.1,13642.2,13
260617,NIFTY 100,25629.6,25784.4,12
257289,NIFTY COMMODITIES,8703.25,8708.4,12
261897,NIFTY FMCG,56594.55,55837.4,12
261129,NIFTY REALTY,1077.5,1040.75,12
260617,NIFTY 100,25629.6,25786.3,12
257545,NIFTY CONSUMPTION,11600.9,12060.35,12
262665,NIFTY PSE,10250.75,10175.1,12
262665,NIFTY PSE,10250.75,10313.7,12
264457,NIFTY 200,13985.1,14037.95,12
262409,NIFTY PHARMA,22114.95,22562.95,12
264457,NIFTY 200,13985.1,14286.65,12
260617,NIFTY 100,25629.6,25821.1,11
262409,NIFTY PHARMA,22114.95,22326.55,11
261129,NIFTY REALTY,1077.5,1086.55,11
262409,NIFTY PHARMA,22114.95,22179.4,11
262409,NIFTY PHARMA,22114.95,22603.9,11
261641,NIFTY ENERGY,37062.4,37574.8,11
256265,NIFTY 50,24672.8,24753.15,11
260617,NIFTY 100,25629.6,24668.75,11
257545,NIFTY CONSUMPTION,11600.9,11327.85,11
261129,NIFTY REALTY,1077.5,1085.6,10
260617,NIFTY 100,25629.6,26318.1,10
256265,NIFTY 50,24672.8,24074.2,10
257801,NIFTY FIN SERVICE,24740.9,24874.85,10
256777,NIFTY MIDCAP 100,58815.75,59597.35,10
256265,NIFTY 50,24672.8,24073.9,10
261641,NIFTY ENERGY,37062.4,38142.95,10
261641,NIFTY ENERGY,37062.4,37396.55,10
260617,NIFTY 100,25629.6,24871.55,10
263689,NIFTY METAL,9405.75,9118.7,10
262665,NIFTY PSE,10250.75,10398.5,10
261641,NIFTY ENERGY,37062.4,38136.85,10
257801,NIFTY FIN SERVICE,24740.9,24865.7,10
262409,NIFTY PHARMA,22114.95,22381.6,10
264457,NIFTY 200,13985.1,13863.15,10
