"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"6","Shree Cements Limited","SHREECEM","P&F | F.A","-0.19%","24372.8","84,516"
"163","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","-0.22%","207.27","81,29,987"
"81","SBI Life Insurance Company Ltd","SBILIFE","P&F | F.A","-0.23%","1562.45","11,76,816"
"41","Titan Company Limited","TITAN","P&F | F.A","-0.25%","3198.45","9,92,983"
"73","Coromandel International Limited","COROMANDEL","P&F | F.A","-0.25%","1732.9","3,44,347"
"48","Mphasis Limited","MPHASIS","P&F | F.A","-0.28%","2853.45","6,12,281"
"116","Icici Prudential Life Insurance Company Limited","ICICIPRULI","P&F | F.A","-0.28%","702.35","11,05,532"
"157","Oil & Natural Gas Corporation Limited","ONGC","P&F | F.A","-0.29%","256.15","2,24,45,400"
"83","Bharti Airtel Limited","BHARTIARTL","P&F | F.A","-0.31%","1555.65","44,79,934"
"148","Biocon Limited","BIOCON","P&F | F.A","-0.34%","347.5","57,06,097"
"173","Indian Oil Corporation Limited","IOC","P&F | F.A","-0.46%","138.79","1,05,61,738"
"179","IDFC First Bank Ltd","IDFCFIRSTB","P&F | F.A","-0.48%","66.24","1,95,67,952"
"3","Page Industries Limited","PAGEIND","P&F | F.A","-0.5%","47107.2","30,702"
"125","Wipro Limited","WIPRO","P&F | F.A","-0.5%","570.65","56,30,445"
"119","Hindalco Industries Limited","HINDALCO","P&F | F.A","-0.56%","651.65","1,20,09,560"
"172","Tata Steel Limited","TATASTEEL","P&F | F.A","-0.58%","144.17","2,88,61,662"
"9","Oracle Financial Services Software Limited","OFSS","P&F | F.A","-0.65%","11855.75","1,50,298"
"128","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","-0.68%","556.6","7,61,982"
"58","Acc Limited","ACC","P&F | F.A","-0.69%","2257","1,28,141"
"30","Hero Motocorp Limited","HEROMOTOCO","P&F | F.A","-0.7%","4724.2","3,10,558"
"25","Persistent Systems Limited","PERSISTENT","P&F | F.A","-0.73%","5680.15","2,50,857"
"5","Abbott India Limited","ABBOTINDIA","P&F | F.A","-0.74%","28511.55","5,663"
"117","HDFC Life Insurance Company Ltd","HDFCLIFE","P&F | F.A","-0.76%","700","25,02,158"
"56","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","-0.82%","2440.3","4,88,274"
"71","Tata Communications Limited","TATACOMM","P&F | F.A","-0.84%","1753.1","1,49,047"
"102","TATA Consumer Products Ltd","TATACONSUM","P&F | F.A","-0.86%","967.55","9,68,082"
"136","Itc Limited","ITC","P&F | F.A","-0.86%","472.85","50,41,916"
"152","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","-0.88%","309.8","71,92,998"
"126","Birlasoft Ltd","BSOFT","P&F | F.A","-0.9%","564.55","13,06,556"
"15","Atul Limited","ATUL","P&F | F.A","-0.96%","7423.25","89,176"
"59","Nestle India Limited","NESTLEIND","P&F | F.A","-1%","2256.2","11,05,339"
"78","Tech Mahindra Limited","TECHM","P&F | F.A","-1.01%","1687","14,14,446"
"37","Larsen & Toubro Limited","LT","P&F | F.A","-1.03%","3591.35","11,16,205"
"7","NIFTY","NIFTY","P&F | F.A","-1.07%","23883.45","0"
"134","Laurus Labs Limited","LAURUSLABS","P&F | F.A","-1.09%","489.55","11,41,880"
"31","Pi Industries Limited","PIIND","P&F | F.A","-1.1%","4548.9","2,47,900"
"98","Axis Bank Limited","AXISBANK","P&F | F.A","-1.1%","1158.15","96,06,088"
"141","Exide Industries Limited","EXIDEIND","P&F | F.A","-1.1%","431.8","52,28,338"
"174","L&T Finance Ltd","LTF","P&F | F.A","-1.13%","138.57","41,40,867"
"29","Eicher Motors Limited","EICHERMOT","P&F | F.A","-1.15%","4738.2","3,26,017"
"47","Adani Enterprises Limited","ADANIENT","P&F | F.A","-1.16%","2870","5,97,231"
"108","Can Fin Homes Limited","CANFINHOME","P&F | F.A","-1.17%","828.85","1,83,191"
"32","HDFC Asset Management Company Ltd","HDFCAMC","P&F | F.A","-1.18%","4397.5","4,77,903"
"11","Ultratech Cement Limited","ULTRACEMCO","P&F | F.A","-1.19%","10840","1,66,347"
