"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"251","CreditAccess Grameen Ltd","CREDITACC","P&F | F.A","-1.54%","871.05","1,40,388"
"150","Tech Mahindra Limited","TECHM","P&F | F.A","-1.57%","1661","9,40,682"
"242","Tata Technologies Ltd","TATATECH","P&F | F.A","-1.58%","947.1","6,51,005"
"303","Five Star Business Finance Ltd","FIVESTAR","P&F | F.A","-1.59%","637.4","2,86,382"
"136","Cyient Limited","CYIENT","P&F | F.A","-1.6%","1772.8","1,23,551"
"357","Vardhman Textiles Limited","VTL","P&F | F.A","-1.62%","446.75","75,336"
"181","Route Mobile Ltd","ROUTE","P&F | F.A","-1.63%","1391","1,41,342"
"210","Sundram Fasteners Limited","SUNDRMFAST","P&F | F.A","-1.64%","1169","19,338"
"198","Narayana Hrudayalaya Ltd.","NH","P&F | F.A","-1.65%","1255.45","1,51,759"
"336","Varroc Engineering Ltd","VARROC","P&F | F.A","-1.67%","499.5","5,15,709"
"206","Dr. Reddy's Laboratories Limited","DRREDDY","P&F | F.A","-1.68%","1206.05","21,81,578"
"184","KPIT Technologies Ltd","KPITTECH","P&F | F.A","-1.75%","1333.15","5,54,218"
"349","Star Health & Allied Insurance Company Ltd","STARHEALTH","P&F | F.A","-1.78%","466.3","4,81,231"
"342","Sterling & Wilson Renewable Energy Ltd","SWSOLAR","P&F | F.A","-1.79%","481.85","6,42,991"
"61","HDFC Asset Management Company Ltd","HDFCAMC","P&F | F.A","-1.81%","4201.2","4,15,955"
"402","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","-1.81%","292.8","49,38,690"
"5","3m India Limited","3MINDIA","P&F | F.A","-1.83%","31871.25","4,036"
"20","Apar Industries Limited","APARINDS","P&F | F.A","-1.86%","8793.1","38,767"
"59","Computer Age Management Services Ltd","CAMS","P&F | F.A","-1.88%","4495.65","1,30,382"
"388","Biocon Limited","BIOCON","P&F | F.A","-1.91%","329.4","16,55,113"
"189","Vedant Fashions Ltd","MANYAVAR","P&F | F.A","-1.93%","1295.8","34,700"
"215","Kajaria Ceramics Limited","KAJARIACER","P&F | F.A","-1.93%","1132.4","43,704"
"264","Cello World Ltd","CELLO","P&F | F.A","-1.94%","791.15","54,427"
"135","Vinati Organics Limited","VINATIORGA","P&F | F.A","-1.95%","1799.25","27,548"
"277","Jsw Energy Limited","JSWENERGY","P&F | F.A","-1.97%","717.6","13,67,944"
"2","Page Industries Limited","PAGEIND","P&F | F.A","-1.98%","44480.3","11,038"
"105","Aditya Birla Real Estate Ltd","ABREL","P&F | F.A","-1.98%","2547.95","1,61,001"
"124","Oberoi Realty Limited","OBEROIRLTY","P&F | F.A","-1.98%","1941","8,81,428"
"378","Ntpc Limited","NTPC","P&F | F.A","-2%","365.05","98,70,312"
"115","Radico Khaitan Limited","RADICO","P&F | F.A","-2.02%","2203.65","90,370"
"268","Bikaji Foods International Ltd","BIKAJI","P&F | F.A","-2.02%","770.75","2,63,612"
"122","Kirloskar Brothers Limited","KIRLOSBROS","P&F | F.A","-2.03%","1997.75","1,53,841"
"36","Trent Limited","TRENT","P&F | F.A","-2.04%","6330.85","4,07,782"
"205","Amara Raja Energy & Mobility Ltd","ARE&M","P&F | F.A","-2.04%","1230","3,06,859"
"100","Poly Medicure Limited","POLYMED","P&F | F.A","-2.05%","2645.8","51,991"
"445","FSN E-Commerce Ventures Ltd","NYKAA","P&F | F.A","-2.08%","167.5","30,95,190"
"79","Schaeffler India Ltd","SCHAEFFLER","P&F | F.A","-2.1%","3352","38,197"
"73","Kei Industries Limited","KEI","P&F | F.A","-2.12%","3730.95","1,25,670"
"281","Tanla Solutions Limited","TANLA","P&F | F.A","-2.14%","697.95","2,91,444"
"93","Mphasis Limited","MPHASIS","P&F | F.A","-2.18%","2777.35","4,65,349"
"172","Raymond Limited","RAYMOND","P&F | F.A","-2.18%","1471.95","1,11,568"
"301","Asahi India Glass Limited","ASAHIINDIA","P&F | F.A","-2.22%","650.9","78,194"
"278","Schneider Electric Infrastructure Limited","SCHNEIDER","P&F | F.A","-2.26%","708.2","4,18,397"
"270","Eid Parry India Limited","EIDPARRY","P&F | F.A","-2.27%","763.75","2,08,854"
"22","Info Edge (india) Limited","NAUKRI","P&F | F.A","-2.31%","7589","1,45,243"
"262","KSB Ltd","KSB","P&F | F.A","-2.31%","800","71,795"
"323","Elecon Engineering Company Limited","ELECON","P&F | F.A","-2.34%","545.45","1,45,294"
"415","Piramal Pharma Ltd","PPLPHARMA","P&F | F.A","-2.44%","252.15","56,68,782"
"293","Adani Total Gas Ltd","ATGL","P&F | F.A","-2.46%","667.05","8,92,980"
"328","Balrampur Chini Mills Limited","BALRAMCHIN","P&F | F.A","-2.48%","526","6,29,097"
"405","Iti Limited","ITI","P&F | F.A","-2.48%","284.3","78,80,021"
"42","LTI Mindtree Ltd","LTIM","P&F | F.A","-2.49%","5845.1","1,88,091"
"185","Emcure Pharmaceuticals Ltd","EMCURE","P&F | F.A","-2.49%","1324","50,480"
"250","Pnb Housing Finance Limited","PNBHOUSING","P&F | F.A","-2.53%","881.1","52,38,465"
"53","Thermax Limited","THERMAX","P&F | F.A","-2.57%","4875.3","41,987"
"364","Jyothy Laboratories Limited","JYOTHYLAB","P&F | F.A","-2.58%","416","2,48,543"
"60","Skf India Limited","SKFINDIA","P&F | F.A","-2.59%","4401.65","92,672"
"133","Infosys Limited","INFY","P&F | F.A","-2.63%","1815.5","26,60,175"
"299","Anant Raj Limited","ANANTRAJ","P&F | F.A","-2.67%","656.9","6,06,701"
"62","Pi Industries Limited","PIIND","P&F | F.A","-2.71%","4149.85","2,73,969"
"123","Balaji Amines Limited","BALAMINES","P&F | F.A","-2.72%","1976.4","37,464"
"213","Jubilant Pharmova Ltd","JUBLPHARMA","P&F | F.A","-2.73%","1136.85","1,10,728"
"65","Tata Consultancy Services Limited","TCS","P&F | F.A","-2.75%","4032","24,81,951"
"231","Vijaya Diagnostic Centre Ltd","VIJAYA","P&F | F.A","-2.75%","1009.7","63,680"
"330","Indian Bank","INDIANB","P&F | F.A","-2.76%","522.15","12,21,097"
"31","Linde India Limited","LINDEINDIA","P&F | F.A","-2.77%","6627.85","36,048"
"321","Wipro Limited","WIPRO","P&F | F.A","-2.77%","551","55,08,186"
"326","Adani Power Limited","ADANIPOWER","P&F | F.A","-2.77%","533.9","21,05,928"
"451","D B Realty Limited","DBREALTY","P&F | F.A","-2.89%","155.68","12,94,357"
"196","UTI Asset Management Company Ltd","UTIAMC","P&F | F.A","-2.94%","1273.3","93,035"
"361","Aadhar Housing Finance Ltd","AADHARHFC","P&F | F.A","-3.02%","421.7","2,77,886"
"345","Saregama India Limited","SAREGAMA","P&F | F.A","-3.03%","473.6","3,37,878"
"68","Gujarat Fluorochemicals Ltd","FLUOROCHEM","P&F | F.A","-3.09%","3977","53,498"
"165","Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","P&F | F.A","-3.18%","1523.8","92,814"
"239","Bharat Dynamics Ltd","BDL","P&F | F.A","-3.48%","955.15","5,07,442"
"305","Emami Limited","EMAMILTD","P&F | F.A","-3.55%","620","2,93,970"
"23","Blue Dart Express Limited","BLUEDART","P&F | F.A","-3.61%","7381","16,994"
"223","The Great Eastern Shipping Company Limited","GESHIP","P&F | F.A","-3.65%","1071.5","2,17,443"
"154","Rainbow Childrens Medicare Ltd","RAINBOW","P&F | F.A","-3.81%","1586.95","1,34,240"
"33","Astrazeneca Pharma India Limited","ASTRAZEN","P&F | F.A","-3.98%","6503.6","21,311"
"315","Elgi Equipments Limited","ELGIEQUIP","P&F | F.A","-4.15%","560.55","97,395"
"12","Hitachi Energy India Ltd","POWERINDIA","P&F | F.A","-4.16%","11292.45","72,353"
"44","Bayer Cropscience Limited","BAYERCROP","P&F | F.A","-4.23%","5643.35","21,693"
"394","Go Digit General Insurance Ltd","GODIGIT","P&F | F.A","-4.73%","315","4,65,411"
"83","Eclerx Services Limited","ECLERX","P&F | F.A","-4.91%","3175.65","1,05,679"
"318","Akums Drugs & Pharmaceuticals Ltd","AKUMS","P&F | F.A","-5%","553","4,81,545"
"385","Gujarat State Petronet Limited","GSPL","P&F | F.A","-5.77%","330.95","22,18,200"
"39","Basf India Limited","BASF","P&F | F.A","-6.33%","6050.25","73,492"
"356","Gujarat Gas Limited","GUJGASLTD","P&F | F.A","-6.69%","453.5","32,92,647"
"221","Newgen Software Technologies Ltd","NEWGEN","P&F | F.A","-11.61%","1091.65","6,02,056"
"214","Mahanagar Gas Limited","MGL","P&F | F.A","-13.7%","1132.85","38,26,896"
"386","Indraprastha Gas Limited","IGL","P&F | F.A","-18.67%","330.05","3,91,73,701"
"400","Honasa Consumer Ltd","HONASA","P&F | F.A","-20%","297.25","6,65,590"
